City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
538,Tukrah,LY,75.45,clear sky,32.5341,20.5791,Lagrota restaurant
541,Buluang,PH,86.2,moderate rain,13.3068,123.3425,Sacueza Beach Resort
542,Ayia Paraskevi,GR,75.76,clear sky,40.4833,23.05,HEAVEN HOTEL THESSALONIKI AIRPORT
543,Lodwar,KE,74.68,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
544,Takoradi,GH,72.57,few clouds,4.8845,-1.7554,Raybow International Hotel
545,Ouro Preto Do Oeste,BR,73.31,clear sky,-10.7481,-62.2158,Graúna Resort Hotel
546,Tiquicheo,MX,76.55,broken clouds,18.8833,-100.7333,Hotel Alcatraz
547,,,,,,,
548,,,,,,,
549,Itaituba,BR,79.05,overcast clouds,-4.2761,-55.9836,Hotel Campos
550,North Bend,US,72.25,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
552,Lixourion,GR,76.78,clear sky,38.2019,20.4314,Hotel Summery
554,Nichinan,JP,87.48,overcast clouds,31.6,131.3667,Guest House Aki
555,Sao Felix Do Xingu,BR,79.48,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
560,Beckley,US,77.41,clear sky,37.7782,-81.1882,"Country Inn & Suites by Radisson, Beckley, WV"
561,Kochi,IN,77.02,overcast clouds,9.9399,76.2602,Trident Hotel Cochin
563,Mumford,GH,72.82,scattered clouds,5.2618,-0.759,Spanish Villa
564,Chattanooga,US,84.02,scattered clouds,35.0456,-85.3097,The Read House
565,Nowogard,PL,76.96,clear sky,53.6744,15.1163,Pokoje Gościnne
567,,,,,,,
569,Bongor,TD,73.17,light rain,10.2806,15.3722,Oryx Palace
570,Codo,BR,72.68,clear sky,-4.4553,-43.8856,Hotel Porto do Sol
572,Bougouni,ML,71.47,overcast clouds,11.417,-7.479,Non Stop
573,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
574,Superior,US,81.48,clear sky,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
575,Porto Nacional,BR,73.4,clear sky,-10.7081,-48.4172,Vila Real Hotel
577,Kavaratti,IN,80.74,light rain,10.5669,72.642,Green leaf
580,,,,,,,
581,Pasni,PK,82.53,overcast clouds,25.2631,63.471,Kashmiri Hotal
583,Hohhot,CN,77.29,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
584,,,,,,,
585,Padang,ID,77.05,light rain,-0.9492,100.3543,Mercure Padang
586,Kiunga,PG,74.48,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
587,Aswan,EG,87.1,clear sky,24.0934,32.907,Nuba Nile
588,Muvattupula,IN,76.78,overcast clouds,9.9667,76.5833,Indian Summer House
590,Freeport,US,88.97,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
596,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
597,Kaduna,NG,69.15,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
598,Zhezkazgan,KZ,76.98,scattered clouds,47.8043,67.7144,Hotel Zumrat
599,Ascension,US,88.27,clear sky,30.2169,-90.9001,Highland Inn
601,Zhuanghe,CN,71.35,overcast clouds,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
603,,,,,,,
604,Labuhan,ID,81.68,clear sky,-6.8844,112.2051,DoubleFAG
606,Abu Kamal,SY,84.74,clear sky,34.4506,40.9171,البوكمال
607,Grande Prairie,CA,77.18,broken clouds,55.1667,-118.8027,"Holiday Inn Express Grande Prairie, an IHG Hotel"
608,Jangaon,IN,76.69,overcast clouds,17.7167,79.1833,Gabbeta real estate
609,Lamu,KE,71.82,light rain,-2.2717,40.902,Lamu House
610,Tahoua,NE,81.19,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
612,Atambua,ID,80.1,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
615,Tabou,CI,74.68,overcast clouds,4.423,-7.3528,hotêl doufoulougou
616,Manicore,BR,75.15,clear sky,-5.8092,-61.3003,Hotel Durval
617,Mayo,US,86.16,clear sky,38.8876,-76.5119,Resorts Resource Group International
618,Milkovo,RU,82.56,broken clouds,54.7167,158.6167,"Hotel ""Geologist"""
619,Benjamin Constant,BR,78.93,overcast clouds,-4.3831,-70.0311,CASA AVALIADA
622,Espanola,US,86.74,overcast clouds,35.9911,-106.0806,Santa Claran Hotel Casino
623,Helong,CN,70.18,overcast clouds,42.5397,128.9972,Helong Hotel
625,Indian Head,US,86.18,clear sky,38.6001,-77.1622,"Red Carpet Inn Indian Head, MD"
626,Mao,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
628,Santa Cruz,BO,71.06,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
629,Kaspiysk,RU,71.78,few clouds,42.8816,47.6392,Alima Hostel
632,Salalah,OM,75.29,drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
635,Salsomaggiore Terme,IT,77.92,clear sky,44.8148,9.9796,Hotel Ferrari
636,Turayf,SA,77.25,clear sky,31.6725,38.6637,Turaif
640,,,,,,,
641,Port Keats,AU,84.81,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
642,Linfen,CN,83.59,clear sky,36.0889,111.5189,Suoxing Hotel
643,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
648,Ambulu,ID,79.41,few clouds,-8.345,113.6058,Hotel Ambulu Jember
649,,,,,,,
652,Voh,NC,82.38,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
653,Mitsamiouli,KM,75.11,clear sky,-11.3847,43.2844,Foyer ADM
654,Glendive,US,84.49,clear sky,47.1053,-104.7125,Super 8 by Wyndham Glendive
657,Semporna,MY,85.35,scattered clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
658,Sao Miguel,BR,74.17,light rain,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
659,Bobo Dioulasso,BF,75.65,few clouds,11.1771,-4.2979,IBA Hotel
