City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
479,Cabedelo,BR,74.07,-6.9811,-34.8339,Pousada Camboinha
483,Beibei,CN,83.37,29.8256,106.4339,FX Hotel Chongqing at Beibei Southwest University
484,Miyako,JP,75.25,39.6367,141.9525,Hotel Route Inn Miyako
486,,,,,,
487,Mazamari,PE,73.63,-11.3258,-74.5308,Hospedaje Ratto
489,Yerofey Pavlovich,RU,71.64,53.9667,121.9667,lounges and warm parking
491,Cayenne,GF,81.09,4.9333,-52.3333,Hôtel Le Dronmi
492,Coxim,BR,71.65,-18.5067,-54.76,Hotel Avenida
495,Westport,US,83.62,41.1415,-73.3579,The Westport Inn
497,Kalmunai,LK,81.28,7.4167,81.8167,VS Villa
501,Katsuura,JP,80.67,35.1333,140.3,Katsuura Hotel Mikazuki
508,Lake City,US,78.78,30.1897,-82.6393,Ramada Limited Lake City
509,Tiarei,PF,80.01,-17.5333,-149.3333,Le Rocher de Tahiti
512,Vero Beach,US,84.99,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
516,Shirvan,AZ,74.68,39.9509,48.8994,Nəriman Nərimanov küçəsi Şirvan Azərbaycan
517,Bhera,PK,78.55,32.4832,72.9097,Shahmeer Tea stall
521,Grand-Lahou,CI,73.81,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
524,Kumluca,TR,80.8,36.3703,30.2869,Akkol Apart
526,Mabaruma,GY,72.66,8.2,-59.7833,Monty Brooms Guest House
527,Pacific Grove,US,75.2,36.6177,-121.9166,Lovers Point Inn
530,Irricana,CA,78.78,51.3237,-113.6048,Irricana Campground
531,Balabac,PH,85.19,7.9868,117.0645,Batalla’s Lodging House
534,Yanam,IN,84.51,16.7333,82.2167,The Regency Hotel
535,Plover,US,78.55,44.4564,-89.544,Hampton Inn Plover-Stevens Point
538,Tukrah,LY,75.45,32.5341,20.5791,Lagrota restaurant
542,Ayia Paraskevi,GR,75.76,40.4833,23.05,HEAVEN HOTEL THESSALONIKI AIRPORT
543,Lodwar,KE,74.68,3.1191,35.5973,Solmar Gracious Hotel
544,Takoradi,GH,72.57,4.8845,-1.7554,Raybow International Hotel
545,Ouro Preto Do Oeste,BR,73.31,-10.7481,-62.2158,Graúna Resort Hotel
546,Tiquicheo,MX,76.55,18.8833,-100.7333,Hotel Alcatraz
547,,,,,,
548,,,,,,
549,Itaituba,BR,79.05,-4.2761,-55.9836,Hotel Campos
550,North Bend,US,72.25,43.4065,-124.2243,Red Lion Hotel Coos Bay
552,Lixourion,GR,76.78,38.2019,20.4314,Hotel Summery
555,Sao Felix Do Xingu,BR,79.48,-6.6447,-51.995,Rio Xingu Camping
560,Beckley,US,77.41,37.7782,-81.1882,"Country Inn & Suites by Radisson, Beckley, WV"
561,Kochi,IN,77.02,9.9399,76.2602,Trident Hotel Cochin
563,Mumford,GH,72.82,5.2618,-0.759,Spanish Villa
564,Chattanooga,US,84.02,35.0456,-85.3097,The Read House
565,Nowogard,PL,76.96,53.6744,15.1163,Pokoje Gościnne
567,,,,,,
569,Bongor,TD,73.17,10.2806,15.3722,Oryx Palace
570,Codo,BR,72.68,-4.4553,-43.8856,Hotel Porto do Sol
572,Bougouni,ML,71.47,11.417,-7.479,Non Stop
573,Alofi,NU,76.89,-19.0595,-169.9187,Taloa Heights
574,Superior,US,81.48,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
575,Porto Nacional,BR,73.4,-10.7081,-48.4172,Vila Real Hotel
577,Kavaratti,IN,80.74,10.5669,72.642,Green leaf
580,,,,,,
581,Pasni,PK,82.53,25.2631,63.471,Kashmiri Hotal
583,Hohhot,CN,77.29,40.8106,111.6522,Sheraton Hohhot Hotel
585,Padang,ID,77.05,-0.9492,100.3543,Mercure Padang
586,Kiunga,PG,74.48,-6.1219,141.2906,Airport Lodge Kiunga
588,Muvattupula,IN,76.78,9.9667,76.5833,Indian Summer House
596,Port Hedland,AU,75.25,-20.3167,118.5667,The Esplanade Hotel
598,Zhezkazgan,KZ,76.98,47.8043,67.7144,Hotel Zumrat
601,Zhuanghe,CN,71.35,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
603,,,,,,
604,Labuhan,ID,81.68,-6.8844,112.2051,DoubleFAG
606,Abu Kamal,SY,84.74,34.4506,40.9171,البوكمال
607,Grande Prairie,CA,77.18,55.1667,-118.8027,"Holiday Inn Express Grande Prairie, an IHG Hotel"
608,Jangaon,IN,76.69,17.7167,79.1833,Gabbeta real estate
609,Lamu,KE,71.82,-2.2717,40.902,Lamu House
610,Tahoua,NE,81.19,14.8888,5.2692,Bungalows Guesthouse
612,Atambua,ID,80.1,-9.1061,124.8925,Kost Alfa Flat
615,Tabou,CI,74.68,4.423,-7.3528,hotêl doufoulougou
616,Manicore,BR,75.15,-5.8092,-61.3003,Hotel Durval
618,Milkovo,RU,82.56,54.7167,158.6167,"Hotel ""Geologist"""
619,Benjamin Constant,BR,78.93,-4.3831,-70.0311,CASA AVALIADA
626,Mao,ES,75.76,39.8885,4.2658,ARTIEM Capri
628,Santa Cruz,BO,71.06,-17.8,-63.1667,Aviador Hotel Boutique
629,Kaspiysk,RU,71.78,42.8816,47.6392,Alima Hostel
632,Salalah,OM,75.29,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
635,Salsomaggiore Terme,IT,77.92,44.8148,9.9796,Hotel Ferrari
636,Turayf,SA,77.25,31.6725,38.6637,Turaif
641,Port Keats,AU,84.81,-14.25,129.55,TDC Village (Hundred Man Camp)
642,Linfen,CN,83.59,36.0889,111.5189,Suoxing Hotel
643,Acapulco,MX,84.02,16.8634,-99.8901,HS Hotsson Smart Acapulco
648,Ambulu,ID,79.41,-8.345,113.6058,Hotel Ambulu Jember
649,,,,,,
652,Voh,NC,82.38,-20.9667,164.7,Le gîte du Koniambo
653,Mitsamiouli,KM,75.11,-11.3847,43.2844,Foyer ADM
654,Glendive,US,84.49,47.1053,-104.7125,Super 8 by Wyndham Glendive
657,Semporna,MY,85.35,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
658,Sao Miguel,BR,74.17,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
659,Bobo Dioulasso,BF,75.65,11.1771,-4.2979,IBA Hotel
660,Benicarlo,ES,78.91,40.4165,0.4271,Hotel & Spa Peñíscola Plaza Suites
661,Lubao,PH,78.87,14.9167,120.55,Hacienda Gracia
662,Bubaque,GW,77.05,11.2833,-15.8333,"Casa Dora, Bubaque"
665,Zaysan,KZ,74.88,47.4667,84.8667,Ерлан үй
666,San Remo,IT,81.09,43.8182,7.7612,Royal Hotel Sanremo
669,Kloulklubed,PW,82.9,7.0419,134.2556,Storyboard Beach Resort
671,Isangel,VU,84.31,-19.55,169.2667,Tanna Lodge
672,Ahuimanu,US,85.71,21.4447,-157.8378,Paradise Bay Resort
673,Pali,IN,82.08,25.7667,73.3333,HOTEL THE AMBA VILAS
674,Bud,US,84.22,39.447,-86.1758,Ted McQuinn Trust
675,Kumano,JP,80.94,34.3442,132.5894,ホテル コラソン
678,Erzin,TR,74.39,36.9559,36.2,Artemis Otel
679,Darnah,LY,76.01,32.767,22.6367,فندق الفردوس
680,Najran,SA,84.85,17.4924,44.1277,محمد هادي ال فطيح
