City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Teya,RU,60.3778,92.6267,64.62,63,48,4.99,scattered clouds
276,Srednekolymsk,RU,67.45,153.6833,54.97,53,56,5.19,broken clouds
277,Honiara,SB,-9.4333,159.95,88.14,61,97,7.7,overcast clouds
278,Ghanzi,BW,-21.5667,21.7833,50.72,48,0,5.35,clear sky
279,Sayat,TM,38.7839,63.8803,87.76,15,0,15.17,clear sky
280,Ulladulla,AU,-35.35,150.4667,56.3,68,96,9.22,light rain
281,Turukhansk,RU,65.8167,87.9833,57.45,76,45,6.98,light rain
282,Mezhdurechensk,RU,53.6942,88.0603,61.83,76,100,3.74,overcast clouds
283,Inuvik,CA,68.3499,-133.7218,66.96,53,75,6.91,broken clouds
284,San Felipe,VE,10.3399,-68.7425,71.47,96,66,2.42,broken clouds
285,Kaitangata,NZ,-46.2817,169.8464,45.68,75,93,8.37,overcast clouds
286,Saint-Francois,FR,46.4154,3.9054,60.24,88,20,2.3,few clouds
287,Goderich,CA,43.7501,-81.7165,74.91,83,9,8.05,clear sky
288,Lianran,CN,24.9227,102.485,66.74,82,96,3.15,overcast clouds
289,Bambous Virieux,MU,-20.3428,57.7575,66.45,82,75,12.66,light rain
290,Tiznit,MA,29.5833,-9.5,89.11,21,86,5.88,overcast clouds
291,Xining,CN,36.6167,101.7667,52.39,97,100,4.94,overcast clouds
292,Luanda,AO,-8.8368,13.2343,66.2,88,20,4.61,few clouds
293,Uglekamensk,RU,43.2172,133.2303,74.25,77,99,3.96,overcast clouds
294,Ixtapa,MX,20.7,-105.2,88.83,74,75,5.75,broken clouds
295,Kimbe,PG,-5.5502,150.1429,87.37,61,98,6.2,overcast clouds
296,Varhaug,NO,58.6147,5.6457,57.47,88,91,19.22,overcast clouds
297,Namikupa,TZ,-10.8333,39.6,60.08,96,6,2.37,clear sky
298,Camana,PE,-16.6228,-72.7111,60.03,87,95,6.42,overcast clouds
299,Nakhon Phanom,TH,17.3333,104.4167,80.28,80,100,10.09,light rain
300,Waipawa,NZ,-41.4122,175.5153,45.07,94,100,28.88,overcast clouds
301,Clyde River,CA,70.4692,-68.5914,37.63,100,100,9.22,light rain
302,Sohag,EG,26.557,31.6948,82.69,30,0,10.42,clear sky
303,Avera,US,33.194,-82.5271,81.55,80,100,9.64,overcast clouds
304,Khatanga,RU,71.9667,102.5,50.74,56,100,22.48,overcast clouds
305,Aguimes,ES,27.9054,-15.4461,74.03,61,0,28.77,clear sky
306,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,83,4,17.27,clear sky
307,Talnakh,RU,69.4865,88.3972,56.21,76,100,9.06,overcast clouds
308,Imeni Zhelyabova,RU,58.9544,36.5956,56.7,97,56,9.8,broken clouds
309,Khani,GE,41.9563,42.9566,58.57,98,100,0.92,overcast clouds
310,Togur,RU,58.3631,82.8265,63.72,67,92,5.08,overcast clouds
311,Prado,BR,-17.3411,-39.2208,69.37,84,0,6.38,clear sky
